code,population,child_proportion,older_person_proportion,median_age,population_density,born_outside_uk_proportion,road_traffic_incidents,employment_rate,median_house_price,median_household_income,apartment_proportion,household_ownership_rate,social_renting_proportion,private_rental_proportion,higher_level_qualification_proportion,crime_rate,open_space_proportion,cars_per_household,pt_access_score,bike_to_work_trips
E05000143,16200,17.7,8.3,29,10785.7,42.4,3,53,465000,30500,92.7,14.3,61.2,20.7,29.5,93.5,13.6,0.3,7.1,284.5
E05000144,13200,16.8,11.8,34,10076.9,51.2,2,72.3,740500,50340,89,40.8,16.5,39.8,60.4,70,14.5,0.6,6.2,268.4
E05000145,12550,13.1,9.2,33,13722.2,43.3,1,76.2,622500,46290,85.8,32.4,22.2,43.7,60.6,77.6,9.4,0.5,6,326.7
E05000146,17750,19.9,9.8,34,10843.8,34.5,2,74.1,250000,38070,47.2,51.7,13.7,32.5,38,61,2.3,0.7,4.6,125.4
E05000147,15150,19.5,14.6,38,5555.6,22.3,2,71.7,347000,38600,18,67.1,21.5,9.7,27.3,58.1,22.2,1.1,2.9,75.5
E05000148,16600,24.1,10.3,34,11750,45.3,2,67.5,246250,33530,32.5,57.3,11.9,28,29.4,64.4,7.8,0.8,3.3,95.5
E05000149,20050,26.4,7.5,31,7185.2,46.2,7,64.6,231000,31000,42.9,41.2,27.5,28.3,26.9,151.3,4.6,0.7,4.7,105.2
E05000150,12700,18.4,21.7,44,1629.9,11.8,2,73.9,375000,42660,10.7,80.4,12.5,5.7,30.3,34.9,56.8,1.4,1.9,49.8
E05000151,14150,18.4,16.4,41,2770,16.9,3,75.5,361000,46610,11.6,83.5,4.6,11,34.9,46.7,17.1,1.5,2.5,59.1
E05000152,16200,20.2,12.6,35,4614.3,24.3,0,76.5,250000,42260,49.1,60.1,8.3,29.4,42.1,57.3,19.1,1,3.3,109.4
E05000153,21750,19.2,10.3,33,5065.8,42.3,11,73.1,236000,39130,69.4,39.8,15.5,40.7,45.9,215.9,17.5,0.6,5.7,77.1
E05000154,11850,29.6,10.2,29,7800,19.3,0,58.5,220000,26720,34.4,33.5,60.6,4.8,12.5,61.8,22.9,0.8,2.9,11.8
E05000155,13600,18.2,18.2,40,1551.7,16.9,2,74.3,260000,39770,26.8,75.6,9.3,13.7,29.3,70.7,61.3,1.3,2.3,38.3
E05000156,15650,20.9,15.8,39,2369.2,17.9,1,75,340000,44160,24.7,74.1,11.4,12.1,36.1,35.9,39.6,1.3,1.9,86.6
E05000157,11250,24.6,13.1,33,4604.2,13.9,1,64.4,245000,28770,25.2,48.4,42.2,7.7,12.8,70,31.2,1,2.7,12.8
E05000158,17100,20.8,13.5,35,6740,43.6,8,69.5,350000,36810,25.9,59.8,13.8,23.6,34.1,54.2,15.8,1,3.1,135.1
E05000159,15550,19.7,15.7,38,3607.1,23.1,6,74.1,320000,44600,33.7,71.5,7.6,18.2,40.5,78.1,3.8,1.2,2.9,77.9
E05000160,13200,17,20.9,44,2071.4,13.7,0,74.9,392500,47030,12.2,85.2,6.7,7.1,35,29.6,48.6,1.5,1.7,53.4
E05000161,18550,26.2,9.2,32,7978.3,40.1,2,64.7,212997.5,31220,52.7,39.8,27.1,29.2,28.4,95.9,18.3,0.6,4.2,109.5
E05000162,12200,13.8,22.4,46,1882.8,15.7,6,76.4,344000,45320,6.3,90.8,2,6.3,32,35.5,55.2,1.5,2,40.7
E05000163,14700,19.7,18.4,40,5214.3,19.7,5,72.3,320000,39500,25.3,73.7,18.5,6.6,27.1,44.1,16,1.2,2,71.2
E05000164,16900,22.2,10.3,35,6979.2,32.1,1,68.7,240000,34430,64.5,47.9,20.7,28.9,35,80,17.5,0.7,3.9,156.1
E05000165,16900,25.4,9.5,34,9852.9,37.6,1,66.8,250000,33720,37.8,54.1,19.7,24.1,28.3,82,11.2,0.7,3.3,94.6
E05000166,16600,20.8,11.8,36,6307.7,33.9,1,69.7,289750,37430,44.6,55.3,20.6,21.9,35.2,70.8,19.4,0.9,3,205.6
E05000167,17650,23.4,10.5,34,4847.2,30.1,5,69.9,243250,34630,46.1,49.2,25.5,22.8,30.1,74.3,32.7,0.8,3.6,111.5
E05000168,18000,25.4,9.8,32,8925,46.5,2,64.6,235000,32400,30.1,53.6,15.7,27,27.3,90.3,18.7,0.8,3.1,103.6
E05000169,17100,24.7,8.7,33,7727.3,28.4,1,69,250000,33890,35.2,53.1,19.8,24.1,29,65,33.3,0.8,3.7,117.3
E05000170,15850,20,10.2,33,8750,48.3,1,69.4,570000,36500,60.1,40.3,23.3,33.8,40.4,77.9,24.2,0.7,3.1,439.4
E05000171,14850,21.7,12.7,36,6750,39.6,3,68.6,500000,41730,51.1,54.2,21.5,21.7,46.2,47.8,34.7,0.9,3,205.4
E05000172,14150,22.4,12.3,33,6152.2,56,1,61,265000,29350,40.6,49.1,28.4,19.2,24.4,54,47.3,1,3.3,67.2
E05000173,15550,14.6,12,34,7868.4,44.3,1,75.1,459970,45540,70.1,43.4,11,42.4,57.7,145.7,6.1,0.8,5,232.4
E05000174,14200,15.7,12,35,6809.5,43.1,6,74.6,536000,43600,57.3,46.8,14.6,36.4,52.6,68.9,22.2,0.9,3.6,322.9
E05000175,19800,19.8,8.5,31,4523.3,54.4,8,68.3,390500,32930,59.9,36,22.1,34.1,38.3,103.7,19.6,0.7,4,454.2
E05000176,15100,21,10.5,35,7450,40.6,2,73.1,408750,38970,52,48.2,20.2,27.8,40.6,77.5,34.2,0.8,3.8,300
